goal_coverage,requirement,scenario_id,scenario_seed,available_node_count,static_upper_bound,static_visible_target_count,required_target_count,required_targets_available,sentinel_target_count,sentinels_available,structurally_feasible,status,success,coverage,unweighted_inspectable_coverage,whole_surface_coverage,required_targets_covered,required_targets_covered_count,sentinels_covered,sentinels_covered_count,selected_count,graph_cost,total_delta_v,min_clearance,peak_input,online_time_s,safe_action_evaluations,shield_rejections,route_node_ids
0.95,coverage_only,test_000,20732,23,0.978785891910468,40,0,True,6,True,True,success,True,0.957571783820936,0.9512195121951219,0.43333333333333335,True,0,True,6,14,141.03839795986363,17.098232829290172,0.3126404740316717,0.05278198759371104,0.646451051987242,163979,79890,cand_0005;cand_0000;cand_0013;cand_0070;cand_0009;cand_0066;cand_0052;cand_0055;cand_0051;cand_0062;cand_0063;cand_0068;cand_0021;cand_0015
0.95,six_spatial_sentinels,test_000,20732,23,0.978785891910468,40,6,True,6,True,True,success,True,0.957571783820936,0.9512195121951219,0.43333333333333335,True,6,True,6,14,141.03839795986363,17.098232829290172,0.3126404740316717,0.05278198759371104,0.7048598999972455,163979,79890,cand_0005;cand_0000;cand_0013;cand_0070;cand_0009;cand_0066;cand_0052;cand_0055;cand_0051;cand_0062;cand_0063;cand_0068;cand_0021;cand_0015
0.95,coverage_only,test_001,20733,22,0.959544083516798,39,0,True,6,True,True,no_viable_completion,False,0.0,0.0,0.0,True,0,False,0,0,0.0,0,nan,nan,0.2622603049967438,70974,38374,
0.95,six_spatial_sentinels,test_001,20733,22,0.959544083516798,39,6,True,6,True,True,no_viable_completion,False,0.0,0.0,0.0,False,0,False,0,0,0.0,0,nan,nan,0.28007532900664955,70974,38374,
0.95,coverage_only,test_002,20734,22,0.9402566941834973,38,0,True,6,True,False,structurally_infeasible,False,nan,nan,nan,False,0,False,0,0,nan,nan,nan,nan,0.0,0,0,
0.95,six_spatial_sentinels,test_002,20734,22,0.9402566941834973,38,6,True,6,True,False,structurally_infeasible,False,nan,nan,nan,False,0,False,0,0,nan,nan,nan,nan,0.0,0,0,
0.95,coverage_only,test_003,20736,24,1.0,41,0,True,6,True,True,success,True,0.9596445711542747,0.9512195121951219,0.43333333333333335,True,0,True,6,13,126.63844060604491,15.349579811546315,1.149157587355644,0.043531041305857686,0.8601507860003039,206948,98793,cand_0005;cand_0000;cand_0013;cand_0070;cand_0068;cand_0021;cand_0016;cand_0066;cand_0052;cand_0055;cand_0051;cand_0063;cand_0062
0.95,six_spatial_sentinels,test_003,20736,24,1.0,41,6,True,6,True,True,success,True,0.9596445711542747,0.9512195121951219,0.43333333333333335,True,6,True,6,13,126.63844060604491,15.349579811546315,1.149157587355644,0.043531041305857686,0.8466951229784172,206948,98793,cand_0005;cand_0000;cand_0013;cand_0070;cand_0068;cand_0021;cand_0016;cand_0066;cand_0052;cand_0055;cand_0051;cand_0063;cand_0062
0.95,coverage_only,test_004,20738,23,0.9575577611461444,39,0,True,6,True,True,success,True,0.9575577611461444,0.9512195121951219,0.43333333333333335,True,0,True,6,13,160.80188369897218,19.51248936051049,1.183592718544074,0.059166450822183185,0.5155861749954056,130686,76537,cand_0021;cand_0016;cand_0009;cand_0066;cand_0052;cand_0055;cand_0063;cand_0045;cand_0068;cand_0070;cand_0013;cand_0000;cand_0005
0.95,six_spatial_sentinels,test_004,20738,23,0.9575577611461444,39,6,True,6,True,True,success,True,0.9575577611461444,0.9512195121951219,0.43333333333333335,True,6,True,6,13,160.80188369897218,19.51248936051049,1.183592718544074,0.059166450822183185,0.5514502470032312,130686,76537,cand_0021;cand_0016;cand_0009;cand_0066;cand_0052;cand_0055;cand_0063;cand_0045;cand_0068;cand_0070;cand_0013;cand_0000;cand_0005
0.95,coverage_only,test_005,20739,22,0.955844789265645,39,0,True,6,True,True,no_viable_completion,False,0.0,0.0,0.0,True,0,False,0,0,0.0,0,nan,nan,0.26884065600461327,69113,38472,
0.95,six_spatial_sentinels,test_005,20739,22,0.955844789265645,39,6,True,6,True,True,no_viable_completion,False,0.0,0.0,0.0,False,0,False,0,0,0.0,0,nan,nan,0.25674017300480045,69113,38472,
0.95,coverage_only,test_006,20740,22,1.0,41,0,True,6,True,True,success,True,0.9548497948337409,0.9512195121951219,0.43333333333333335,True,0,True,6,12,147.55297515957173,17.901750699704422,1.0871041962737076,0.0585962290483111,0.7437398420006502,194156,109609,cand_0005;cand_0066;cand_0016;cand_0021;cand_0009;cand_0055;cand_0062;cand_0063;cand_0045;cand_0068;cand_0070;cand_0013
0.95,six_spatial_sentinels,test_006,20740,22,1.0,41,6,True,6,True,True,success,True,0.9548497948337409,0.9512195121951219,0.43333333333333335,True,6,True,6,12,147.55297515957173,17.901750699704422,1.0871041962737076,0.0585962290483111,0.7611292660003528,194156,109609,cand_0005;cand_0066;cand_0016;cand_0021;cand_0009;cand_0055;cand_0062;cand_0063;cand_0045;cand_0068;cand_0070;cand_0013
0.95,coverage_only,test_007,20744,22,0.9103504328817051,37,0,True,6,True,False,structurally_infeasible,False,nan,nan,nan,False,0,False,0,0,nan,nan,nan,nan,0.0,0,0,
0.95,six_spatial_sentinels,test_007,20744,22,0.9103504328817051,37,6,True,6,True,False,structurally_infeasible,False,nan,nan,nan,False,0,False,0,0,nan,nan,nan,nan,0.0,0,0,
0.95,coverage_only,test_008,20745,24,1.0,41,0,True,6,True,True,success,True,0.9606494033876601,0.9512195121951219,0.43333333333333335,True,0,True,6,13,138.382698072575,16.781415104135643,1.0871041962737076,0.0585962290483111,1.1354442139854655,296012,177323,cand_0005;cand_0066;cand_0052;cand_0055;cand_0062;cand_0063;cand_0051;cand_0009;cand_0016;cand_0021;cand_0068;cand_0070;cand_0013
0.95,six_spatial_sentinels,test_008,20745,24,1.0,41,6,True,6,True,True,success,True,0.9606494033876601,0.9512195121951219,0.43333333333333335,True,6,True,6,13,138.382698072575,16.781415104135643,1.0871041962737076,0.0585962290483111,1.0928679189819377,296012,177323,cand_0005;cand_0066;cand_0052;cand_0055;cand_0062;cand_0063;cand_0051;cand_0009;cand_0016;cand_0021;cand_0068;cand_0070;cand_0013
0.95,coverage_only,test_009,20746,21,0.9803102769471994,40,0,True,6,True,True,no_viable_completion,False,0.0,0.0,0.0,True,0,False,0,0,0.0,0,nan,nan,0.12848337198374793,36963,22206,
0.95,six_spatial_sentinels,test_009,20746,21,0.9803102769471994,40,6,True,6,True,True,no_viable_completion,False,0.0,0.0,0.0,False,0,False,0,0,0.0,0,nan,nan,0.12834176598698832,36963,22206,
0.95,coverage_only,test_010,20748,23,0.9787782508856026,40,0,True,6,True,True,success,True,0.9575565017712051,0.9512195121951219,0.43333333333333335,True,0,True,6,13,131.88103580636616,15.988133455342469,1.149157587355644,0.043531041305857686,0.6459530880092643,166032,85526,cand_0005;cand_0000;cand_0013;cand_0070;cand_0068;cand_0009;cand_0021;cand_0016;cand_0066;cand_0052;cand_0051;cand_0063;cand_0062
