scenario_id,method,action,candidate_id,sample,time,ax,ay,az,record_basis
required09_test_000_bg95,adaptive_rollout_adp,2,cand_0021,43,282.0,-0.00014275614056914453,0.0,5.088459662403236e-05,planned_command_not_execution
required09_test_000_bg95,adaptive_rollout_adp,2,cand_0021,44,285.0,-0.00014275614056914453,0.0,5.088459662403236e-05,planned_command_not_execution
required09_test_000_bg95,adaptive_rollout_adp,2,cand_0021,45,288.0,-0.00014275614056914453,0.0,5.088459662403236e-05,planned_command_not_execution
required09_test_000_bg95,adaptive_rollout_adp,2,cand_0021,46,291.0,-0.00014275614056914453,0.0,5.088459662403236e-05,planned_command_not_execution
required09_test_000_bg95,adaptive_rollout_adp,2,cand_0021,47,294.0,-0.00014275614056914453,0.0,5.088459662403236e-05,planned_command_not_execution
required09_test_000_bg95,adaptive_rollout_adp,2,cand_0021,48,297.0,-0.00014275614056914453,0.0,5.088459662403236e-05,planned_command_not_execution
required09_test_000_bg95,adaptive_rollout_adp,2,cand_0021,49,300.0,-0.00014275614056914453,0.0,5.088459662403236e-05,planned_command_not_execution
required09_test_000_bg95,adaptive_rollout_adp,3,cand_0068,0,303.0,-0.006215996946610986,0.0034864903255485006,-0.027373176280378424,planned_command_not_execution
required09_test_000_bg95,adaptive_rollout_adp,3,cand_0068,1,306.0,-0.00578873611453723,0.0032582148304739125,-0.025484919587002292,planned_command_not_execution
required09_test_000_bg95,adaptive_rollout_adp,3,cand_0068,2,309.0,-0.005363234754977911,0.0030270449724995397,-0.02359636930981219,planned_command_not_execution
required09_test_000_bg95,adaptive_rollout_adp,3,cand_0068,3,312.0,-0.004939497769667627,0.0027929927119250244,-0.02170754720472504,planned_command_not_execution
required09_test_000_bg95,adaptive_rollout_adp,3,cand_0068,4,315.0,-0.00451753004001555,0.002556070042255008,-0.0198184750307892,planned_command_not_execution
required09_test_000_bg95,adaptive_rollout_adp,3,cand_0068,5,318.0,-0.0040973364270492,0.0023162889900609717,-0.01792917454993378,planned_command_not_execution
required09_test_000_bg95,adaptive_rollout_adp,3,cand_0068,6,321.0,-0.0036789217713584393,0.0020736616148426842,-0.01603966752671798,planned_command_not_execution
required09_test_000_bg95,adaptive_rollout_adp,3,cand_0068,7,324.0,-0.0032622908930397235,0.0018282000088892833,-0.014149975728080334,planned_command_not_execution
required09_test_000_bg95,adaptive_rollout_adp,3,cand_0068,8,327.0,-0.0028474485916405567,0.0015799162971399695,-0.012260120923087994,planned_command_not_execution
required09_test_000_bg95,adaptive_rollout_adp,3,cand_0068,9,330.0,-0.0024343996461042147,0.0013288226370443284,-0.010370124882685901,planned_command_not_execution
required09_test_000_bg95,adaptive_rollout_adp,3,cand_0068,10,333.0,-0.002023148814714684,0.0010749312184222832,-0.008480009379446023,planned_command_not_execution
required09_test_000_bg95,adaptive_rollout_adp,3,cand_0068,11,336.0,-0.0016137008350418488,0.0008182542633236633,-0.006589796187316553,planned_command_not_execution
required09_test_000_bg95,adaptive_rollout_adp,3,cand_0068,12,339.0,-0.0012060604238869187,0.0005588040258874087,-0.00469950708137102,planned_command_not_execution
required09_test_000_bg95,adaptive_rollout_adp,3,cand_0068,13,342.0,-0.0008002322772280859,0.0002965927922004055,-0.0028091638375574712,planned_command_not_execution
required09_test_000_bg95,adaptive_rollout_adp,3,cand_0068,14,345.0,-0.00039622107016643157,3.163288015595086e-05,-0.0009187882324476447,planned_command_not_execution
required09_test_000_bg95,adaptive_rollout_adp,3,cand_0068,15,348.0,5.968543127931025e-06,-0.0002360633606881536,0.0009715979570139414,planned_command_not_execution
required09_test_000_bg95,adaptive_rollout_adp,3,cand_0068,16,351.0,0.00040633192946947503,-0.000506483549251856,0.0028619729537608385,planned_command_not_execution
required09_test_000_bg95,adaptive_rollout_adp,3,cand_0068,17,354.0,0.0008048644767106317,-0.0007796152730754931,0.004752314980855533,planned_command_not_execution
required09_test_000_bg95,adaptive_rollout_adp,3,cand_0068,18,357.0,0.0012015615937949191,-0.001055446088462776,0.006642602261740314,planned_command_not_execution
required09_test_000_bg95,adaptive_rollout_adp,3,cand_0068,19,360.0,0.0015964187108098364,-0.0013339635206241435,0.008532813020488153,planned_command_not_execution
required09_test_000_bg95,adaptive_rollout_adp,3,cand_0068,20,363.0,0.0019894312790395066,-0.001615155063820467,0.010422925482053539,planned_command_not_execution
required09_test_000_bg95,adaptive_rollout_adp,3,cand_0068,21,366.0,0.0023805947710170724,-0.0018990081815071155,0.012312917872523338,planned_command_not_execution
required09_test_000_bg95,adaptive_rollout_adp,3,cand_0068,22,369.0,0.0027699046805768615,-0.002185510306478379,0.014202768419367623,planned_command_not_execution
required09_test_000_bg95,adaptive_rollout_adp,3,cand_0068,23,372.0,0.0031573565229062904,-0.0024746488410122384,0.016092455351690505,planned_command_not_execution
required09_test_000_bg95,adaptive_rollout_adp,3,cand_0068,24,375.0,0.0035429458345975287,-0.0027664111570154903,0.01798195690048089,planned_command_not_execution
required09_test_000_bg95,adaptive_rollout_adp,3,cand_0068,25,378.0,0.003926668173698922,-0.003060784596169223,0.019871251298863316,planned_command_not_execution
required09_test_000_bg95,adaptive_rollout_adp,3,cand_0068,26,381.0,0.004308519119766158,-0.0033577564700746384,0.021760316782348646,planned_command_not_execution
required09_test_000_bg95,adaptive_rollout_adp,3,cand_0068,27,384.0,0.004688494273913193,-0.0036573140603992195,0.023649131589084844,planned_command_not_execution
required09_test_000_bg95,adaptive_rollout_adp,3,cand_0068,28,387.0,0.005066589258862925,-0.003959444619023246,0.02553767396010763,planned_command_not_execution
required09_test_000_bg95,adaptive_rollout_adp,3,cand_0068,29,390.0,0.005442799718997617,-0.004264135368186653,0.02742592213959116,planned_command_not_execution
required09_test_000_bg95,adaptive_rollout_adp,3,cand_0068,30,393.0,-0.00011157884025098762,0.0,1.9024264582797799e-06,planned_command_not_execution
required09_test_000_bg95,adaptive_rollout_adp,3,cand_0068,31,396.0,-0.00011157884025098762,0.0,1.9024264582797799e-06,planned_command_not_execution
required09_test_000_bg95,adaptive_rollout_adp,3,cand_0068,32,399.0,-0.00011157884025098762,0.0,1.9024264582797799e-06,planned_command_not_execution
