method,action,sample,time_s,rx,ry,rz,vx,vy,vz,ux,uy,uz
local_search,1,3,12.0,-0.6848482515927743,-35.11306705782084,10.268237225730683,-0.10899901568519574,-0.01731733459236141,0.04265795885265042,-0.008015539381699391,-0.0013678356868310072,0.003158216071341551
local_search,1,4,15.0,-1.0449742551298515,-35.16941177853673,10.409134794804535,-0.13108896301320858,-0.02022082074574153,0.051273663689546785,-0.007317518055517089,-0.0012394517521267428,0.0028851322752226558
local_search,1,5,18.0,-1.4682606972157852,-35.23369267012224,10.574649591733104,-0.1511055146371721,-0.022610460940622697,0.05906942833423582,-0.006618894210266876,-0.0011158081752948405,0.0026120152426584086
local_search,1,6,21.0,-1.9484806351479445,-35.30441067185152,10.762321523462939,-0.1690441869183299,-0.02451457834940081,0.06604507270994404,-0.00591967589402802,-0.0009969090190431041,0.0023388681199306635
local_search,1,7,24.0,-2.479393892415295,-35.38015175571468,10.969689985041134,-0.18490064097857598,-0.025961538113208445,0.07220043562747168,-0.005219871161728045,-0.0008827582914240718,0.002065694053667913
local_search,1,8,27.0,-3.054747493208018,-35.45958705060332,11.194293916282295,-0.19867068285176964,-0.026979746194631136,0.0775353747879807,-0.004519488075049918,-0.0007733599457888406,0.0017924961908090346
local_search,1,9,30.0,-3.6682760973764816,-35.54147296305249,11.433671858443361,-0.21035026363198825,-0.02759764822927028,0.08204976678545645,-0.003818534702339205,-0.0006687178807415254,0.0015192776785670405
local_search,1,10,33.0,-4.313702435830374,-35.62465129453566,11.685362010905342,-0.2199354796187147,-0.02784372837617534,0.08574350710884297,-0.0031170191185111063,-0.0005688359400943498,0.0012460416643928227
local_search,1,11,36.0,-4.984737746368793,-35.70804935530925,11.946902287860954,-0.22742257245895672,-0.027746508167168053,0.08861651014385179,-0.002414949404957441,-0.00047371791282336184,0.0009727912959388929
local_search,1,12,39.0,-5.6750822099321,-35.790680074803554,12.215830375007204,-0.2328079292862953,-0.02733454535508139,0.09066870917444425,-0.0017123336494535473,-0.00038336753302478844,0.0006995297210231222
local_search,1,13,42.0,-6.378425387266288,-35.87164210855679,12.489683786241928,-0.23608808285685975,-0.02663643276093599,0.09190005638398739,-0.0010091799460651178,-0.0002977884798720166,0.00042626008759247963
local_search,1,14,45.0,-7.088446655990688,-35.95011994168908,12.765999920363301,-0.2372597116822264,-0.025680797120076874,0.09231052285608328,-0.0003054963950549489,-0.00021698437757321231,0.00015298554368676966
local_search,1,15,48.0,-7.798815648059728,-36.02538398891331,13.04231611777136,-0.23631964015923854,-0.024496297927293208,0.09190009857507184,0.00039870889721036645,-0.00014095879532956734,-0.00012029076259763814
local_search,1,16,51.0,-8.503192687609552,-36.09679069107988,13.316169717170528,-0.23326483869674502,-0.023111626280943917,0.09066879242620711,0.001103427818353828,-6.971524729418408e-05,-0.0003935656831440715
local_search,1,17,54.0,-9.195229229180212,-36.163782608252355,13.58509811227219,-0.22809242383925504,-0.021555503726112007,0.08861663219550703,0.0018086522500814822,-3.2571925315926648e-06,-0.0006668360698518197
local_search,1,18,57.0,-9.86856829630421,-36.22588850931115,13.846638808496323,-0.2207996583875066,-0.019856681096810422,0.08574366456927664,0.002514374068275937,5.8411965022097734e-05,-0.0009400987746724025
local_search,1,19,60.0,-10.516844920452101,-36.28272345808243,14.098329479671206,-0.21138395151594624,-0.018043937357262285,0.08204995513330478,0.00322058514308996,0.00011528887659841165,-0.0012133506496458356
local_search,1,20,63.0,-11.13368658032591,-36.33398889598951,14.33770802473023,-0.1998428588871178,-0.01614607844227843,0.07753558837173427,0.00392727733904013,0.00016737024863508446,-0.0014865885469368904
local_search,1,21,66.0,-11.712713641491067,-36.37947272122407,14.562312624404834,-0.1861740827629578,-0.014191936096755123,0.07220066766560562,0.004634442515100557,0.00021465284281400426,-0.001759809318871363
local_search,1,22,69.0,-12.247539796337586,-36.41904936443451,14.769681797912575,-0.1703754721129953,-0.01221036671431486,0.06604531529107421,0.0053420725247966625,0.0002571334760985175,-0.0020330098179723293
local_search,1,23,72.0,-12.731772504361203,-36.45267986092905,14.957354459639365,-0.15244502271945404,-0.010230250175113207,0.05906967241730107,0.006050159216299033,0.0002948090207700955,-0.002306186896996409
local_search,1,24,75.0,-13.15901343275517,-36.480411919391024,15.122869975814886,-0.1323808772792545,-0.008280488682834602,0.051273899104017244,0.006758694432517326,0.00032767640446436787,-0.002579337408970017
local_search,1,25,78.0,-13.5228588973034,-36.50237998710387,15.263768221180213,-0.11018132550291426,-0.006390005600900103,0.04265817429876176,0.007467670011194229,0.0003557326102065137,-0.002852458207225618
local_search,1,26,81.0,-13.816900303565657,-36.518805311683735,15.377589635646661,-0.08584480421034418,-0.004587744287910035,0.03322269583379328,0.008177077784999508,0.0003789746764460184,-0.003125546145437976
local_search,1,27,84.0,-14.03472458834547,-36.52999599931719,15.461875280944877,-0.05936989742353861,-0.00290266693234456,0.02296768042267547,0.008886909581624074,0.0003973996970907894,-0.003398598077660402
local_search,1,28,87.0,-14.169914661431484,-36.53634706950199,15.514166897263195,-0.030755336456157724,-0.0013637533865451532,0.011893363656536107,0.00959715722387414,0.0004110048215406346,-0.0036716108583609874
local_search,1,29,90.0,-14.216049847602848,-36.53834050628877,15.532006959874282,-4.5102810375396984e-17,-1.3660947373317356e-17,4.85722573273506e-17,0.010307812529765415,0.0004197872547201009,-0.00394458134245885
local_search,2,0,93.0,-14.233161946841797,-36.391474687913224,15.643527894110104,-0.01129731193384002,0.0979233269727002,0.07434721811761119,-0.0038219321347982647,0.03262820228526526,0.02480233444259242
local_search,2,1,96.0,-14.281699293074261,-35.960810992542896,15.970410779940623,-0.020957748490173428,0.1891967327587995,0.14357449656597987,-0.0034902323611736385,0.03038785957204498,0.023095970100908737
local_search,2,2,99.0,-14.356888558757266,-35.26632543841545,16.497293390090388,-0.029072852582568153,0.2738028178082244,0.20768023966503296,-0.0031738686720156903,0.028145317264539466,0.021389339695878588
local_search,2,3,102.0,-14.454231154586102,-34.328044841526754,17.2088088872095,-0.03573423959375545,0.3517251165808951,0.2666629697148297,-0.002872844711803587,0.025900679479625776,0.01968246288771954
local_search,2,4,105.0,-14.56950344134303,-33.166044012766974,18.08958617785266,-0.04103359366955167,0.4229480980985016,0.3205213270211002,-0.0025871639483042936,0.02365405035832064,0.01797535933948768
local_search,2,5,108.0,-14.69875693062564,-31.800442953444414,19.124250266531767,-0.04506266401138872,0.48745716646751847,0.36925406991874504,-0.0023168296725326358,0.021405534064580813,0.016268048716851124
local_search,2,6,111.0,-14.838318474450805,-30.25140404928353,20.297422609835962,-0.0479132611675263,0.5452386613734483,0.4128600747932956,-0.002061844998713378,0.01915523478410311,0.014560550687863445
local_search,2,7,114.0,-14.9847904437304,-28.539129262983348,21.593721470612994,-0.04967725332301935,0.5962798585462842,0.45133833610033475,-0.001822212864245353,0.016903256723124163,0.012852884922737163
local_search,2,8,117.0,-15.135050895615132,-26.683857325422682,22.997762272205783,-0.05044656258851399,0.640568970197182,0.48468796638287726,-0.001597936029667622,0.014649704107219977,0.011145071093617058
local_search,2,9,120.0,-15.286253729703109,-24.705860925598536,24.49415795273806,-0.05031316128794511,0.6780951454263351,0.5129081962867106,-0.0013890170786276736,0.012394681180105298,0.009437128874353624
local_search,2,10,123.0,-15.435828833109934,-22.625443899384088,26.06751931944299,-0.04936906824520918,0.708848470602043,0.5359983745736946,-0.0011954584178516586,0.010138292202432732,0.007729077940276385
local_search,2,11,126.0,-15.581482214397388,-20.46293841719269,27.702455403028605,-0.047706345069885456,0.7328199697109665,0.5539579681330212,-0.0010172622771166687,0.00788064145059162,0.006020937967967245
local_search,2,12,129.0,-15.72119612635793,-18.238702170634312,29.383573812073973,-0.045417092442078956,0.7500016046795625,0.5667865619904326,-0.0008544307092250467,0.005621833215506843,0.004312728635033819
local_search,2,13,132.0,-15.853229177652503,-15.97311555825095,31.095481087449958,-0.04259344639645871,0.7603862756666929,0.5744838593153991,-0.0007069655899807391,0.003361971801437358,0.002604469619882765
local_search,2,14,135.0,-15.976116433299357,-13.686578870417431,32.822783056758446,-0.03932757460556454,0.7639678213274023,0.5770496814262552,-0.0005748686181676866,0.0011011615247746858,0.0008961806014930566
local_search,2,15,138.0,-16.08866950401176,-11.399509473494149,34.55008518878392,-0.03571167266245582,0.7607410190478566,0.5744839677932951,-0.00045814131553025483,-0.0011604932871589146,-0.0008121187408106842
local_search,2,16,141.0,-16.189976624382794,-9.132338993318243,36.261992947951256,-0.03183796036277569,0.7507015851514425,0.566786776039827,-0.00035678502675570505,-0.003422888297312164,-0.002520408727584914
local_search,2,17,144.0,-16.279402719915527,-6.9055104981197415,37.94311214878365,-0.027798677986304046,0.7338461750760188,0.5539582819411855,-0.00027080091945870207,-0.005685919160106799,-0.004228669679493858
local_search,2,18,147.0,-16.3565894628972,-4.739475680949239,39.57804931035446,-0.023686082578072816,0.7101723835223207,0.5359987794217037,-0.00020018998416786117,-0.007949481522639582,-0.005936881917536226
local_search,2,19,150.0,-16.421455317116177,-2.6546920417036204,41.15141201072695,-0.019592444229116955,0.67967874457351,0.5129086805496434,-0.00014495303431434408,-0.01021347102588446,-0.007645025763271897
local_search,2,20,153.0,-16.474195571420704,-0.67162006883643,42.64780924137577,-0.015610042356934563,0.642364731785872,0.48468851553008463,-0.00010509070622248041,-0.012477783305894753,-0.009353081539048638
